dataset,text_fields,use_stopwords,use_stemming,K,recall_at_K,num_impressions,wall_clock_s
ebnerd,title_abstract,True,False,50,0.999657,3406,394.6
ebnerd,title_abstract,True,False,100,1.0,3406,394.6
ebnerd,title_abstract,True,False,200,1.0,3406,394.6
ebnerd,title_abstract,False,False,50,0.999951,3406,933.5
ebnerd,title_abstract,False,False,100,1.0,3406,933.5
ebnerd,title_abstract,False,False,200,1.0,3406,933.5
ebnerd,title_abstract,True,True,50,1.0,3406,376.6
ebnerd,title_abstract,True,True,100,1.0,3406,376.6
ebnerd,title_abstract,True,True,200,1.0,3406,376.6
ebnerd,title_abstract,False,True,50,0.999657,3406,847.9
ebnerd,title_abstract,False,True,100,1.0,3406,847.9
ebnerd,title_abstract,False,True,200,1.0,3406,847.9
mind,title_abstract,True,False,50,0.912538,30270,1041.5
mind,title_abstract,True,False,100,0.982601,30270,1041.5
mind,title_abstract,True,False,200,0.999203,30270,1041.5
mind,title_abstract,False,False,50,0.893883,30270,923.9
mind,title_abstract,False,False,100,0.978886,30270,923.9
mind,title_abstract,False,False,200,0.998813,30270,923.9
mind,title_abstract,True,True,50,0.91254,30270,958.8
mind,title_abstract,True,True,100,0.983063,30270,958.8
mind,title_abstract,True,True,200,0.999196,30270,958.8
mind,title_abstract,False,True,50,0.894513,30270,1062.0
mind,title_abstract,False,True,100,0.979278,30270,1062.0
mind,title_abstract,False,True,200,0.99887,30270,1062.0
