dataset,beta_embed,n_impressions,AUC,MRR,nDCG@5,nDCG@10
mind,1.0,431517,0.6273633716156231,0.3341742133825807,0.31051108527108456,0.36925984910231213
mind,0.9,431517,0.6290515338606143,0.3374567750193644,0.313411082599893,0.3720308807704038
mind,0.8,431517,0.6296225627540025,0.33923283104786905,0.31480259723137116,0.3734193736152851
mind,0.7,431517,0.628651256976807,0.33926178532036466,0.3144546918702479,0.37303198075259497
mind,0.6,431517,0.6258238073680171,0.337343010564549,0.3119850699313092,0.37064546326589787
mind,0.5,431517,0.6205602070245011,0.3331556294949113,0.3073430685969583,0.3661473417617251
mind,0.0,431517,0.5729468868111278,0.310615842432348,0.2810949975227135,0.33808266725629715
ebnerd,1.0,1678989,0.5060646583469918,0.33904747081796394,0.3705798847121378,0.45517603938407447
ebnerd,0.9,1678989,0.4998105300560012,0.33200299318463256,0.36383343187501066,0.4493563422314038
ebnerd,0.8,1678989,0.49226514259064574,0.3218654445188455,0.3547590428438603,0.44128069557041955
ebnerd,0.7,1678989,0.48418484416984997,0.31078817298855355,0.34482202912312976,0.43258702756661194
ebnerd,0.6,1678989,0.4774578831096069,0.30225183841141673,0.3368434608532963,0.4258768331542582
ebnerd,0.5,1678989,0.4716785793485857,0.29587785079723933,0.3306944056222842,0.42087091113207437
ebnerd,0.0,1678989,0.45745049897822293,0.28886369336497025,0.32163459573488024,0.4144360250573581
