dataset,alpha,n_impressions,AUC,MRR,nDCG@5,nDCG@10
mind,1.0,431517,0.6273633716156231,0.3341742133825807,0.31051108527108456,0.36925984910231213
mind,0.9,431517,0.6246163562928879,0.32979750893297827,0.3066622727339797,0.3657804058818271
mind,0.8,431517,0.6200750847598914,0.3228539699245823,0.30031602283415193,0.35973174064019625
mind,0.7,431517,0.612047456395815,0.31232726778773123,0.29013052184987304,0.3501205141863534
mind,0.6,431517,0.5996516277198483,0.2972151606100962,0.27510886442748245,0.33585880931622597
mind,0.5,431517,0.577627203050375,0.276321516509093,0.2546227523392177,0.316568627404936
ebnerd,1.0,1678989,0.5060646583469918,0.33904747081796394,0.3705798847121378,0.45517603938407447
ebnerd,0.9,1678989,0.48909979603129405,0.3212193367744049,0.3514180338863082,0.43972160522756726
ebnerd,0.8,1678989,0.4738762438142142,0.3046428563490321,0.3337820283264357,0.42539662516535487
ebnerd,0.7,1678989,0.4595704710244452,0.2919053704452063,0.3195176267548878,0.4141692932172079
ebnerd,0.6,1678989,0.44765907441939695,0.2833348201601281,0.3093118562416806,0.40652863192728333
ebnerd,0.5,1678989,0.4373088273693854,0.2765381486628874,0.301224401615382,0.40057411244289887
