history_cap,temperature,AUC,MRR,nDCG5,nDCG10
50,0.05,0.822718,0.344209,0.321245,0.380320
50,0.1,0.823273,0.345174,0.322119,0.381477
50,0.2,0.824443,0.347594,0.324676,0.383888
50,0.5,0.823384,0.348144,0.324608,0.383545
50,1.0,0.822063,0.345653,0.322020,0.380941
50,2.0,0.821221,0.343499,0.320142,0.378966
50,5.0,0.820661,0.342286,0.319033,0.377535
100,0.05,0.823163,0.344244,0.321460,0.380471
100,0.1,0.823774,0.345047,0.322056,0.381589
100,0.2,0.824835,0.347951,0.325065,0.384220
100,0.5,0.823623,0.348517,0.324641,0.383874
100,1.0,0.822239,0.345909,0.321975,0.381103
100,2.0,0.821392,0.344013,0.320093,0.379194
100,5.0,0.820885,0.342906,0.319119,0.377928
