dataset,K,slice,bm25_recall,embed_model,embed_recall,bm25_n,embed_n,bm25_wins
mind,5,all,0.32171,minilm,0.433552,30270,30270,0
mind,5,cold,0.354293,minilm,0.42294,5215,5215,0
mind,5,warm,0.314929,minilm,0.435761,25055,25055,0
mind,5,tail,0.318898,minilm,0.358268,127,127,0
mind,5,head,0.321722,minilm,0.433869,30143,30143,0
mind,10,all,0.485885,minilm,0.601943,30270,30270,0
mind,10,cold,0.522164,minilm,0.600555,5215,5215,0
mind,10,warm,0.478334,minilm,0.602232,25055,25055,0
mind,10,tail,0.456693,minilm,0.519685,127,127,0
mind,10,head,0.486008,minilm,0.602289,30143,30143,0
mind,50,all,0.894513,minilm,0.929648,30270,30270,0
mind,50,cold,0.913091,minilm,0.926447,5215,5215,0
mind,50,warm,0.890647,minilm,0.930314,25055,25055,0
mind,50,tail,0.897638,minilm,0.929134,127,127,0
mind,50,head,0.8945,minilm,0.92965,30143,30143,0
mind,100,all,0.979278,minilm,0.987315,30270,30270,0
mind,100,cold,0.980835,minilm,0.987452,5215,5215,0
mind,100,warm,0.978953,minilm,0.987287,25055,25055,0
mind,100,tail,0.984252,minilm,0.984252,127,127,0
mind,100,head,0.979257,minilm,0.987328,30143,30143,0
mind,200,all,0.99887,minilm,0.999493,30270,30270,0
mind,200,cold,0.998734,minilm,0.999728,5215,5215,0
mind,200,warm,0.998898,minilm,0.999444,25055,25055,0
mind,200,tail,1.0,minilm,1.0,127,127,0
mind,200,head,0.998865,minilm,0.999491,30143,30143,0
ebnerd,5,all,0.571296,w2v,0.602319,3406,3406,0
ebnerd,5,cold,0.555556,w2v,0.666667,18,18,0
ebnerd,5,warm,0.571379,w2v,0.601978,3388,3388,0
ebnerd,5,tail,0.666667,w2v,0.777778,9,9,0
ebnerd,5,head,0.571043,w2v,0.601855,3397,3397,0
ebnerd,10,all,0.852662,w2v,0.861861,3406,3406,0
ebnerd,10,cold,0.944444,w2v,0.888889,18,18,1
ebnerd,10,warm,0.852174,w2v,0.861718,3388,3388,0
ebnerd,10,tail,1.0,w2v,1.0,9,9,0
ebnerd,10,head,0.852272,w2v,0.861495,3397,3397,0
ebnerd,50,all,0.999657,w2v,0.999902,3406,3406,0
ebnerd,50,cold,1.0,w2v,1.0,18,18,0
ebnerd,50,warm,0.999656,w2v,0.999902,3388,3388,0
ebnerd,50,tail,1.0,w2v,1.0,9,9,0
ebnerd,50,head,0.999657,w2v,0.999902,3397,3397,0
ebnerd,100,all,1.0,w2v,1.0,3406,3406,0
ebnerd,100,cold,1.0,w2v,1.0,18,18,0
ebnerd,100,warm,1.0,w2v,1.0,3388,3388,0
ebnerd,100,tail,1.0,w2v,1.0,9,9,0
ebnerd,100,head,1.0,w2v,1.0,3397,3397,0
ebnerd,200,all,1.0,w2v,1.0,3406,3406,0
ebnerd,200,cold,1.0,w2v,1.0,18,18,0
ebnerd,200,warm,1.0,w2v,1.0,3388,3388,0
ebnerd,200,tail,1.0,w2v,1.0,9,9,0
ebnerd,200,head,1.0,w2v,1.0,3397,3397,0
